"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","15","98","75","38"
"Department of Justice","Agency Overall","2024","51572","132527","157180","26919"
"American Battle Monuments Commission","Agency Overall","2024","0","38","38","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","107","130","157","80"
"Office of Special Counsel","Agency Overall","2024","26","243","170","99"
"Commission of Fine Arts","Agency Overall","2024","8","91","91","8"
"United States Copyright Office","Agency Overall","2024","7","79","72","14"
"Office of Science and Technology Policy","Agency Overall","2024","176","212","178","210"
"Federal Open Market Committee","Agency Overall","2024","9","90","64","35"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","8","96","20","84"
"U.S. Commission on Civil Rights","Agency Overall","2024","8","140","84","64"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","56","207","100","163"
"Office of the National Cyber Director","Agency Overall","2024","0","378","155","223"
"Department of Health and Human Services","Agency Overall","2024","13249","51800","49271","15778"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","1","73","56","18"
"Surface Transportation Board","Agency Overall","2024","13","89","99","3"
"Department of Energy","Agency Overall","2024","1380","4283","3250","2413"
"Consumer Financial Protection Bureau","Agency Overall","2024","65","964","834","195"
"Federal Labor Relations Authority","Agency Overall","2024","46","158","204","0"
"U.S. Election Assistance Commission","Agency Overall","2024","189","98","42","245"
"Federal Communications Commission","Agency Overall","2024","111","977","984","104"
"Federal Deposit Insurance Corporation","Agency Overall","2024","178","1028","873","333"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","1","73","74","0"
"National Credit Union Administration","Agency Overall","2024","12","409","384","37"
"National Science Foundation","Agency Overall","2024","803","424","374","853"
"Millennium Challenge Corporation","Agency Overall","2024","9","81","58","32"
"Office of National Drug Control Policy","Agency Overall","2024","56","92","49","99"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","6","37","17","26"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2024","13","85","83","15"
"Selective Service System","Agency Overall","2024","0","73","73","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","23","588","596","15"
"Nuclear Regulatory Commission","Agency Overall","2024","122","664","461","325"
"Federal Reserve System","Agency Overall","2024","86","1098","1072","112"
"National Labor Relations Board","Agency Overall","2024","57","2837","2588","306"
"U.S. Agency for International Development","Agency Overall","2024","432","984","688","728"
"Department of Transportation","Agency Overall","2024","7576","18345","16080","9841"
"Social Security Advisory Board","Agency Overall","2024","1","44","44","1"
"Institute of Museum and Library Services","Agency Overall","2024","0","176","176","0"
"Federal Maritime Commission","Agency Overall","2024","15","103","75","43"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","54","23","31"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","15","47","48","14"
"Department of Defense","Agency Overall","2024","29656","61858","57662","33852"
"Federal Mediation and Conciliation Service","Agency Overall","2024","1","100","94","7"
"Advisory Council on Historic Preservation","Agency Overall","2024","27","153","33","147"
"Federal Financial Institutions Examination Council","Agency Overall","2024","10","45","48","7"
"Securities and Exchange Commission","Agency Overall","2024","1436","10811","10985","1262"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","43","43","0"
"Equal Employment Opportunity Commission","Agency Overall","2024","959","18083","18334","708"
"Administrative Conference of the United States","Agency Overall","2024","0","145","145","0"
"Appraisal Subcommittee","Agency Overall","2024","5","45","44","6"
"Office of the Director of National Intelligence","Agency Overall","2024","687","504","390","801"
"Federal Trade Commission","Agency Overall","2024","94","1938","1919","113"
"Department of Commerce","Agency Overall","2024","1247","4048","3410","1885"
"Department of Housing and Urban Development","Agency Overall","2024","790","3324","3102","1012"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","11","11","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","112","2733","2773","72"
"United States Access Board","Agency Overall","2024","1","42","41","2"
"Department of the Treasury","Agency Overall","2024","3224","13303","12687","3840"
"Department of Homeland Security","Agency Overall","2024","203533","911535","894939","220129"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","3","65","47","21"
"United States International Trade Commission","Agency Overall","2024","22","271","173","120"
"Environmental Protection Agency","Agency Overall","2024","1794","7551","7134","2211"
"Marine Mammal Commission","Agency Overall","2024","27","57","70","14"
"Department of Labor","Agency Overall","2024","2367","15833","14856","3344"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","7","42","1","48"
"United States Postal Service","Agency Overall","2024","334","4429","4203","560"
"Occupational Safety and Health Review Commission","Agency Overall","2024","16","242","235","23"
"Tennessee Valley Authority","Agency Overall","2024","57","262","264","55"
"Farm Credit Administration","Agency Overall","2024","7","75","75","7"
"National Railroad Passenger Corporation","Agency Overall","2024","182","738","910","10"
"Office of Personnel Management","Agency Overall","2024","140","968","783","325"
"National Endowment for the Humanities","Agency Overall","2024","11","65","62","14"
"Legal Services Corporation","Agency Overall","2024","5","68","56","17"
"Inter-American Foundation","Agency Overall","2024","4","53","48","9"
"Federal Election Commission","Agency Overall","2024","7","351","318","40"
"Denali Commission","Agency Overall","2024","0","34","34","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","12","57","15","54"
"Consumer Product Safety Commission","Agency Overall","2024","276","783","701","358"
"Presidio Trust","Agency Overall","2024","0","47","46","1"
"Postal Regulatory Commission","Agency Overall","2024","11","219","216","14"
"U.S. Department of State","Agency Overall","2024","23920","22306","20775","25451"
"Federal Housing Finance Agency","Agency Overall","2024","69","217","160","126"
"Small Business Administration","Agency Overall","2024","1204","6813","7092","925"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","11","106","98","19"
"Office of Government Ethics","Agency Overall","2024","6","165","133","38"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","20","49","51","18"
"National Transportation Safety Board","Agency Overall","2024","139","703","561","281"
"Department of Veterans Affairs","Agency Overall","2024","16412","105725","119453","2684"
"United States Institute of Peace","Agency Overall","2024","17","71","21","67"
"National Mediation Board","Agency Overall","2024","3","66","68","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","262","138","261","139"
"National Archives and Records Administration","Agency Overall","2024","6410","22590","23893","5107"
"Department of Education","Agency Overall","2024","2162","4560","3119","3603"
"National Endowment for the Arts","Agency Overall","2024","12","180","155","37"
"National Council on Disability","Agency Overall","2024","3","64","23","44"
"National Aeronautics and Space Administration","Agency Overall","2024","81","1560","1459","182"
"Export-Import Bank of the U.S.","Agency Overall","2024","38","165","159","44"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","28","130","69","89"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","15","110","52","73"
"Farm Credit System Insurance Corporation","Agency Overall","2024","6","51","53","4"
"United States International Boundary and Water Commission","Agency Overall","2024","56","79","25","110"
"Office of Management and Budget","Agency Overall","2024","563","994","493","1064"
"National Capital Planning Commission","Agency Overall","2024","0","41","41","0"
"Central Intelligence Agency","Agency Overall","2024","4010","4087","2603","5494"
"Merit Systems Protection Board","Agency Overall","2024","113","219","184","148"
"Council on Environmental Quality","Agency Overall","2024","34","420","348","106"
"Commodity Futures Trading Commission","Agency Overall","2024","5","443","430","18"
"National Indian Gaming Commission","Agency Overall","2024","13","74","83","4"
"United States African Development Foundation","Agency Overall","2024","14","40","7","47"
"Office of the United States Trade Representative","Agency Overall","2024","15","136","112","39"
"Social Security Administration","Agency Overall","2024","461","12582","11354","1689"
"Armed Forces Retirement Home","Agency Overall","2024","1","35","36","0"
"General Services Administration","Agency Overall","2024","565","1661","1632","594"
"Department of the Interior","Agency Overall","2024","5194","8305","8426","5073"
"Peace Corps","Agency Overall","2024","74","320","331","63"
"Department of Agriculture","Agency Overall","2024","2777","24722","21113","6386"
"U.S. Agency for Global Media","Agency Overall","2024","28","173","191","10"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","1","60","52","9"
"U.S. Railroad Retirement Board","Agency Overall","2024","9","124","121","12"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","26","123","116","33"
"U.S. International Development Finance Corporation","Agency Overall","2024","89","81","45","125"
"All agencies","Agency Overall","2024","388381","1501432","1499265","390548"
