Year,Top Agency,Requests Received
2008,Department of Homeland Security,108952
2009,Department of Homeland Security,103093
2010,Department of Homeland Security,103093
2011,Department of Homeland Security,175656
2012,Department of Homeland Security,190589
2013,Department of Homeland Security,231534
2014,Department of Homeland Security,291242
2015,Department of Homeland Security,281138
2016,Department of Homeland Security,325780
2017,Department of Homeland Security,366036
2018,Department of Homeland Security,395751
2019,Department of Homeland Security,400245
2020,Department of Homeland Security,397671
2021,Department of Homeland Security,442650
2022,Department of Homeland Security,539807
2023,Department of Homeland Security,674856
2024,Department of Homeland Security,911535
