Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Department of State - Archive,State,,Archived Content,https://www.state.gov/j/drl/archives/,Not FOIA content,,
Federal Mediation and Conciliation Service,U.S. Federal Labor Relations Authority,FMCS,Documents and Data,https://www.fmcs.gov/resources/documents-and-data/,,,
Indian Health Service,Health & Human Services,HIS,eFOIA Reading Room,https://www.ihs.gov/FOIA/readingroom/,,,
Federal Election Commission,BCC,FEC,E-FOIA Reading Room,https://www.fec.gov/freedom-information-act/,,,
Forest Service,Agriculture,FS,E-FOIA Reading Room,https://www.fs.fed.us/im/foia/frequent.htm,,,
Merit Systems Protection Board,BCC,MSPB,e-FOIA Reading Room,https://www.mspb.gov/foia/e-foiareadingroom.htm,,,
Occupational Safety and Health Review Commission,BCC,OSHRC,E-FOIA Reading Room,https://www.oshrc.gov/foia/oshrc-e-foia-reading-room/,,,
Office of the Inspector General,Health & Human Services,OIG,E-FOIA Reading Room,https://oig.hhs.gov/foia/efoia.asp,,,
National Aeronautics and Space Administration,Independent,NASA,Electronic FOIA Library,https://www.hq.nasa.gov/office/pao/FOIA/err.htm,,,
National Aeronautics and Space Administration,,NASA,Electronic FOIA Library,https://www.hq.nasa.gov/office/pao/FOIA/err.htm,,,
Office of Privacy and Open Government,Commerce,,Electronic FOIA Library,http://osec.doc.gov/opog/FOIA/FOIA_elibrary.html,,,
"Departmental Management, Office of the Chief Financial Officer",Agriculture,"DM, OCFO",Electronic FOIA Reading Room,https://www.dm.usda.gov/foia/reading.htm,FOIA Electronic Reading Room,,
National Finance Center,Agriculture,NFC,Electronic FOIA Reading Room,https://nfc.usda.gov/AdditionalResources/foiaereading.php,National Institute of Food and Agriculture (NIFA),,
Office of Budget and Program Analysis,Agriculture,OBPA,Electronic FOIA Reading Room,https://www.ascr.usda.gov/electronic-foia-reading-room-e-foia,,,
Office of the Assistant Secretary for Civil Rights,Agriculture,OASCR,Electronic FOIA Reading Room,https://www.ascr.usda.gov/electronic-foia-reading-room-e-foia,Economic Research Service (ERS),,
Agency for Healthcare Research and Quality,Health & Human Services,AHRQ,Electronic Library,https://www.ahrq.gov/policy/foia/foiaindx.html,,,
Office of Personnel Management,Independent,OPM,Electronic Reading,https://www.opm.gov/information-management/freedom-of-information-act/#url=Electronic-Reading-Room,,,
Administration for Children and Families,Health & Human Services,ACF,Electronic Reading Room,https://www.acf.hhs.gov/e-reading-room,,,
Administration for Community Living,Health & Human Services,ACL,Electronic Reading Room,https://acl.gov/FOIA#Eroom,,,
Alcohol and Tobacco Tax and Trade Bureau,Treasury,TTB,Electronic Reading Room,https://ttb.gov/foia/err.shtml,,,
Biologics,FDA,,Electronic Reading Room,https://www.fda.gov/ForConsumers/ConsumerUpdates/ucm129132.htm,,,
Bureau of Indian Affairs,Interior,BIA,Electronic Reading Room,https://www.bia.gov/as-ia/foia/reading-room,,,
Central Intelligence Agency,Independent,CIA,Electronic Reading Room,"https://www.cia.gov/library/readingroom/search/site, https://vault.fbi.gov/",,,
U.S. Citizenship and Immigration Services (USCIS),DHS,USCIS,Electronic Reading Room,https://www.uscis.gov/about-us/electronic-reading-room,,,
Comptroller of the Currency,Treasury,,Electronic Reading Room,https://foia-pal.occ.gov/App/ReadingRoom.aspx,,,
Defense Logistics Agency,Defense,DLA,Electronic Reading Room,http://www.dla.mil/HQ/InformationOperations/LogisticsInformationServices/FOIAReading.aspx,,,
Defense Security Service,Defense,DSS,Electronic Reading Room,https://www.dss.mil/about/err/,,,
Department of the Treasury,Treasury,Treasury,Electronic Reading Room,https://www.treasury.gov/FOIA/Pages/reading_room.aspx#FRM,,,
Farm Service Agency,Agriculture,FSA,Electronic Reading Room,https://www.fsa.usda.gov/FSA/webapp?area=newsroom&subject=landing&topic=foi-er,,,
Federal Financial Institutions Examination Council,Federal Reserve,FFIEC,Electronic Reading Room,https://www.ffiec.gov/foia.htm,,,
Federal Labor Relations Authority,Independent,FLRA,Electronic Reading Room,https://www.flra.gov/elibrary,,,
Federal Maritime Commission,BCC,MARAD,Electronic Reading Room,https://www.maritime.dot.gov/about-us/foia/electronic-reading-room,,,
Federal Open Market Committee,Federal Reserve,FOMC,Electronic Reading Room,https://www.federalreserve.gov/foia/fomc/readingrooms.htm,,,
Federal Railroad Administration,Transportation,FRA,Electronic Reading Room,https://www.fra.dot.gov/Page/P0388,,,
Financial Crimes Enforcement Network,Treasury,FinCEN,Electronic Reading Room,https://www.fincen.gov/reading-room-records,,,
Food and Drug Administration,HHS,FDA,Electronic Reading Room,https://www.fda.gov/regulatoryinformation/foi/electronicreadingroom/default.htm,,,
Food and Nutrition Service,Agriculture,FNS,Electronic Reading Room,https://www.fns.usda.gov/foia/electronic-reading-room,,,
General Services Administration,Independent,GSA,Electronic Reading Room,https://www.gsa.gov/reference/freedom-of-information-act-foia/electronic-reading-room,,,
Health Resources and Services Administration,Health & Human Services,HRSA,Electronic Reading Room,https://www.hrsa.gov/foia/electronic-reading.html,,,
Maritime Administration,Transportation,,Electronic Reading Room,https://www.maritime.dot.gov/about-us/foia/electronic-reading-room,,,
National Highway Traffic Safety Administration,Transportation,NHTSA,Electronic Reading Room,https://www.nhtsa.gov/about-nhtsa/electronic-reading-room,,,
National Indian Gaming Commission,BCC,NIGC,Electronic Reading Room,https://www.nigc.gov/utility/electronic-reading-room,,,
Office of Government Ethics,Independent,OGE,Electronic Reading Room,https://oge.gov/Web/OGE.nsf/Resources/Electronic+Reading+Room,,,
Office of Hearings and Appeals,Interior,OHA,Electronic Reading Room,https://www.doi.gov/oha/foia-reading-room,,,
Office of Personnel Management,Independent,OPM,Electronic Reading Room,https://www.opm.gov/information-management/freedom-of-information-act/#url=Electronic-Reading-Room,,,
