Year,First ,Second ,Third,Fourth ,Fifth
2008,Department of Homeland Security,Department of Veterans Affairs,Department of Defense,Department of Justice,Department of Health and Human Services
2009,Department of Homeland Security,Department of Veterans Affairs,Department of Defense,Department of Justice,Department of Health and Human Services
2010,Department of Homeland Security,Department of Defense,Department of Health and Human Services,Department of Justice,Social Security Administration
2011,Department of Homeland Security,Department of Defense,Department of Health and Human Services,Department of Justice,Social Security Administration
2012,Department of Homeland Security,Department of Justice,Department of Health and Human Services,Department of Defense,Social Security Administration
2013,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,Social Security Administration
2014,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,Department of Veterans Affairs
2015,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,Department of Veterans Affairs
2016,Department of Homeland Security,Department of Justice,Department of Defense,National Archives and Records Administration,Department of Veterans Affairs
2017,Department of Homeland Security,Department of Justice,National Archives and Records Administration,Department of Defense,Department of Health and Human Services
2018,Department of Homeland Security,Department of Justice,Department of Defense,National Archives and Records Administration,Department of Agriculture
2019,Department of Homeland Security,Department of Justice,National Archives and Records Administration,Department of Defense,Department of Health and Human Services
2020,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,National Archives and Records Administration
2021,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,Department of Veterans Affairs
2022,Department of Homeland Security,Department of Justice,Department of Defense,Department of Health and Human Services,Department of Veterans Affairs
2023,Department of Homeland Security,Department of Justice,Department of Veterans Affairs,National Archives and Records Administration,Department of Defense
2024,Department of Homeland Security,Department of Justice,Department of Veterans Affairs,Department of Defense,Department of Health and Human Services
